epoch,step,train_loss,train_f1_mikro,val_loss,val_f1_mikro
0,49,0.6894916892051697,0.11207576841115952,,
0,99,0.6888875365257263,0.12025316804647446,,
0,126,,,0.6886721849441528,0.11909569799900055
1,149,0.6885617971420288,0.12639999389648438,,
1,199,0.6882030963897705,0.12218649685382843,,
1,249,0.688389778137207,0.0993485376238823,,
1,253,,,0.6878002882003784,0.11909547448158264
2,299,0.6873804330825806,0.135674387216568,,
2,349,0.6871718168258667,0.12028869241476059,,
2,380,,,0.6869443655014038,0.11920297890901566
3,399,0.6868988275527954,0.11442384868860245,,
3,449,0.686706006526947,0.09764035791158676,,
3,499,0.686585545539856,0.09870550036430359,,
3,507,,,0.686088502407074,0.11919038742780685
4,549,0.6854233741760254,0.11957412213087082,,
4,599,0.6856818199157715,0.10766720771789551,,
4,634,,,0.6852208375930786,0.11922764778137207
