step,epoch,train_f1_mikro,train_loss,val_loss,val_f1_mikro
49,0,0.07479675114154816,0.6882198452949524,,
99,0,0.07817589491605759,0.6876050233840942,,
126,0,,,0.6871744394302368,0.07732223719358444
149,1,0.07559572905302048,0.6868616938591003,,
199,1,0.07692307978868484,0.6865917444229126,,
249,1,0.09531502425670624,0.6861242651939392,,
253,1,,,0.6860222816467285,0.0801016092300415
299,2,0.06771263480186462,0.6862200498580933,,
349,2,0.08298755437135696,0.6849321126937866,,
380,2,,,0.6848760843276978,0.08011988550424576
